#{"t_start": 1694674190.3130488, "env_id": null}
r,l,t
17.485465,149,0.087101
47.078361,149,0.887074
46.376355,149,1.801068
48.363561,149,2.701083
47.86436,149,3.618074
48.62192,149,4.529069
47.269281,149,5.407072
47.64986,149,6.201075
48.091653,149,7.007072
47.640517,149,7.794072
47.79345,149,8.569074
47.211416,149,9.367074
47.686371,149,10.211081
47.631982,149,11.121075
47.408296,149,12.007076
47.606586,149,12.890084
47.539909,149,13.766079
47.815846,149,14.628114
47.629905,149,15.41609
32.970229,149,16.200081
35.07382,149,17.006081
35.174333,149,17.813087
34.415884,149,18.586084
33.808558,149,19.481084
33.725772,149,20.346091
35.101096,149,21.237084
36.767332,149,22.188092
34.037827,149,23.092089
34.440494,149,23.932087
34.922978,149,24.763092
-464.172556,149,25.565089
-52.898268,149,26.388095
46.457991,149,27.191088
-192.682871,4,27.907052
47.474795,149,28.051095
-93.742981,3,28.8761
46.113234,149,28.99609
47.011496,149,29.907096
47.211288,149,30.856098
46.816514,149,31.770092
48.631429,149,32.666106
47.508179,149,33.471096
46.754929,149,34.302109
46.847881,149,35.105101
47.277917,149,35.9291
46.308222,149,36.743102
47.041681,149,37.685099
-191.268891,5,38.508101
47.19032,149,38.664101
47.179721,149,39.577101
47.172163,149,40.519114
47.663527,149,41.442108
45.829645,149,42.249103
-351.484201,149,43.098114
46.319718,149,43.866105
46.754023,149,44.607112
47.3595,149,45.417111
46.46221,149,46.276113
46.371631,149,47.226107
46.813456,149,48.105119
46.237958,149,49.033129
47.693357,149,49.886109
46.526852,149,50.705114
46.838439,149,51.492124
-53.466364,149,52.271112
47.997389,149,53.10412
47.097774,149,53.901126
46.778075,149,54.716143
45.391663,149,55.641127
47.194561,149,56.524117
-251.705174,149,57.400121
46.008071,149,58.25212
46.60641,149,59.136118
46.936945,149,59.937132
46.606169,149,60.744326
47.066762,149,61.531333
46.026552,149,62.367332
46.882446,149,63.130335
46.586725,149,63.837254
-53.226734,149,64.633334
47.797019,149,65.534342
46.508422,149,66.233339
46.639819,149,66.939334
47.779503,149,67.759342
48.170675,149,68.564334
47.284173,149,69.379338
46.194236,149,70.157298
47.497863,149,70.995265
47.257247,149,71.894288
46.973599,149,72.850342
46.742405,149,73.79335
-192.43797,5,74.617271
47.004223,149,74.758339
46.961413,149,75.704345
46.253494,149,76.621343
46.373543,149,77.447344
47.201306,149,78.274348
47.600693,149,79.059562
46.781707,149,79.75956
46.846217,149,80.587556
47.365444,149,81.508569
47.139706,149,82.38456
47.789973,149,83.30256
46.147841,149,84.220574
47.104824,149,84.9666
47.473161,149,85.763786
46.163881,149,86.552779
47.575312,149,87.309777
45.852229,149,88.119816
47.590631,149,88.926783
47.068168,149,89.800787
46.677391,149,90.705777
46.870817,149,91.634778
46.972943,149,92.554787
46.65986,149,93.469781
46.39579,149,94.33179
46.860375,149,95.044795
47.094465,149,95.738789
47.922443,149,96.428788
47.913596,149,97.122785
47.5835,149,97.816791
-53.220555,149,98.507791
46.379181,149,99.279767
-52.298227,149,100.015795
47.98579,149,100.70981
45.973976,149,101.402797
46.358068,149,102.101789
46.530025,149,102.800799
46.906375,149,103.520789
-252.315856,149,104.22279
46.869314,149,104.920791
47.765999,149,105.637792
47.012355,149,106.386796
46.169054,149,107.096796
46.138294,149,107.793802
47.292788,149,108.525801
47.781496,149,109.210794
45.701981,149,109.918838
47.046232,149,110.664795
46.928867,149,111.359796
47.183894,149,112.068765
47.127986,149,112.782803
46.75652,149,113.477804
46.832615,149,114.209797
47.628186,149,114.917804
47.722586,149,115.621801
46.427917,149,116.327808
48.55219,149,117.023804
47.200326,149,117.725812
-152.232176,149,118.416809
-156.135232,149,119.133812
47.443803,149,119.822803
46.628379,149,120.515773
46.250651,149,121.369812
47.208601,149,122.133815
-192.14868,5,122.736808
48.225878,149,122.863806
46.538016,149,123.568809
46.718918,149,124.336808
47.243136,149,125.03682
46.343494,149,125.74382
47.112706,149,126.446811
47.150793,149,127.169744
-154.622892,149,127.907814
48.091806,149,128.632823
46.917102,149,129.355825
47.162024,149,130.091814
46.908719,149,130.836812
46.820062,149,131.684815
-153.133648,149,132.580846
46.191991,149,133.392814
48.223041,149,134.21182
46.499449,149,134.99775
46.526432,149,135.848823
-192.37716,5,136.570827
45.996503,149,136.714823
-192.308926,4,137.508828
48.657111,149,137.63382
47.98217,149,138.55583
47.607826,149,139.498827
45.566482,149,140.386823
-253.690773,149,141.293844
45.716372,149,142.130831
46.1757,149,142.921823
46.433574,149,143.754832
47.324901,149,144.564834
46.911582,149,145.355825
46.987325,149,146.178834
48.813608,149,147.08483
48.132311,149,148.027833
47.514964,149,148.947846
47.771695,149,149.852832
45.940163,149,150.718787
48.448821,149,151.554833
48.425252,149,152.365833
47.349952,149,153.153797
47.12521,149,153.944836
47.217949,149,154.721833
46.93131,149,155.616841
45.08516,149,156.538837
47.0511,149,157.4768
46.377141,149,158.440845
46.314441,149,159.393843
46.504475,149,160.202851
47.045338,149,160.986848
45.710431,149,161.775848
47.705088,149,162.590841
46.218083,149,163.419848
46.867128,149,164.274843
46.835111,149,165.228852
46.200303,149,166.140853
46.999062,149,167.138852
47.015735,149,168.101852
48.445975,149,168.967821
46.434479,149,169.766853
46.932329,149,170.606811
47.522485,149,171.465848
46.347128,149,172.315856
47.118043,149,173.051856
47.449827,149,173.991855
46.502885,149,174.960876
46.416684,149,175.860863
46.061077,149,176.826857
47.467965,149,177.762818
46.856089,149,178.627857
46.662141,149,179.438857
46.533105,149,180.288856
46.707962,149,181.108859
47.295142,149,181.904874
45.306955,149,182.794859
46.920617,149,183.773862
47.154227,149,184.588863
46.935884,149,185.289859
46.725854,149,185.992866
47.284404,149,186.683861
47.165776,149,187.383865
46.821023,149,188.086879
47.132664,149,188.779831
46.609567,149,189.494868
45.543898,149,190.198864
47.137098,149,190.902829
47.212937,149,191.603871
45.672977,149,192.29783
-192.54284,4,192.889871
46.789524,149,193.020867
46.853879,149,193.790869
47.239317,149,194.494903
47.677172,149,195.248856
-52.803436,149,196.011803
46.737416,149,196.724873
-192.715574,4,197.354834
47.482706,149,197.482879
46.604028,149,198.183876
46.184821,149,198.889879
48.079623,149,199.583814
46.048704,149,200.299879
48.024568,149,200.989875
47.261647,149,201.688878
46.804751,149,202.381883
47.282609,149,203.075878
45.815101,149,203.774876
48.053756,149,204.506876
46.679664,149,205.210884
46.455802,149,205.934878
46.803443,149,206.626878
47.746679,149,207.346893
46.729929,149,208.055882
46.624511,149,208.806883
46.572711,149,209.512883
46.36827,149,210.221884
45.923519,149,210.930882
46.001958,149,211.646889
47.048252,149,212.368893
46.337955,149,213.080886
45.418576,149,213.770885
47.537858,149,214.481894
47.207032,149,215.399887
47.12328,149,216.300892
46.892612,149,217.206899
46.609165,149,218.108897
-93.46184,3,218.815895
46.964189,149,218.952898
46.935427,149,219.7549
45.805238,149,220.551892
46.049629,149,221.339895
46.489065,149,222.1659
47.542698,149,223.084007
46.286758,149,224.012007
45.75754,149,224.954009
46.835367,149,225.882008
45.881055,149,226.777013
46.914563,149,227.584076
-252.390717,149,228.388076
45.547222,149,229.198084
46.740497,149,230.006085
47.331223,149,230.83308
47.056716,149,231.736087
-288.645708,5,232.567146
-52.533662,149,232.723218
46.684725,149,233.663217
47.637774,149,234.572264
45.92999,149,235.519341
47.382083,149,236.391301
47.724216,149,237.196344
46.65222,149,238.040348
47.572045,149,238.853344
47.354939,149,239.671268
46.192485,149,240.586344
47.585687,149,241.51827
-153.805716,149,242.496474
47.704743,149,243.463479
48.308535,149,244.398481
46.921601,149,245.248409
46.70995,149,246.083477
47.358254,149,246.877497
47.426522,149,247.683477
47.650896,149,248.490479
45.570385,149,249.315487
46.815493,149,250.239482
46.915043,149,251.14249
46.211596,149,252.012486
47.412697,149,252.89949
46.299003,149,253.827492
47.098922,149,254.639493
-51.929805,149,255.429487
47.122971,149,256.215486
