#{"t_start": 1694684980.9117434, "env_id": null}
r,l,t
-257.454534,149,0.10994
46.936504,149,0.95846
26.470271,149,1.707199
28.777314,149,2.448362
34.703718,149,3.167636
-345.633508,149,3.893122
40.182666,149,4.612307
44.959563,149,5.340417
43.350658,149,6.062025
43.599435,149,6.781767
44.3126,149,7.490078
46.783866,149,8.195371
56.011832,149,8.904479
61.656109,149,9.603245
64.321148,149,10.30935
64.785514,149,11.014124
44.404661,149,11.720125
45.08709,149,12.432603
44.649327,149,13.176253
31.083107,149,13.883698
9.963932,16,14.504397
10.822378,19,14.585383
-979.856267,36,14.703386
106.522813,149,14.983067
105.170802,149,15.724758
23.192016,149,16.454371
30.739051,149,17.174098
4.364632,68,17.840758
11.434648,74,18.181747
11.504471,85,18.550518
9.255153,149,18.998242
17.163386,149,19.699996
30.658699,149,20.408556
15.204266,149,21.108364
22.866426,149,21.872679
38.221237,149,22.637469
-161.814,103,23.507869
47.652604,149,24.100594
39.05382,149,24.958123
44.100449,149,25.785861
31.404667,149,26.53494
32.634459,149,27.331449
17.457048,28,27.959104
-1256.981036,149,28.236824
14.350017,149,29.178612
24.704525,99,30.044991
29.063771,106,30.668726
38.651031,131,31.324226
35.688057,108,32.04795
49.271191,149,32.633684
38.987478,149,33.441213
38.756021,149,34.280214
53.396301,149,35.096951
51.875458,149,35.903355
46.469696,149,36.773682
61.513616,149,37.610183
64.082325,149,38.470141
30.344501,79,39.203688
35.201401,149,39.758695
67.449214,149,40.669919
41.150152,79,41.427387
51.048562,84,41.87909
86.337937,149,42.441766
38.193822,76,43.237072
22.759011,25,43.595296
91.961374,149,43.826228
104.824955,149,44.56164
110.52014,149,45.31181
96.421945,149,46.039342
108.905094,149,46.793171
78.938443,149,47.561234
81.490383,149,48.315673
83.318554,149,49.075954
91.725028,149,49.802219
84.116995,149,50.537848
42.299069,149,51.301221
48.078671,149,52.026901
50.903606,149,52.764515
60.713993,149,53.497821
47.021325,149,54.254118
42.791245,149,55.005708
-148.302655,126,55.736417
31.448701,149,56.372582
61.116945,149,57.116176
27.12489,83,57.805481
30.683189,125,58.249202
39.714024,149,58.876877
39.611144,149,59.593544
-3772.641123,149,60.350841
61.618127,149,61.086436
50.559222,149,61.84365
35.454811,149,62.615349
52.102994,149,63.365827
57.652832,149,64.110632
68.417418,149,64.82966
64.762015,149,65.547442
48.483979,107,66.24145
30.093153,149,66.784446
27.598139,82,67.452655
41.135683,112,67.881382
41.77285,113,68.412164
79.493894,149,68.987962
64.909932,149,69.776713
69.412378,149,70.517081
-327.225099,149,71.251569
73.044918,149,72.000222
67.405035,149,72.699902
54.186905,149,73.438478
56.534745,149,74.185453
61.751317,149,74.892545
63.514639,149,75.606277
65.45254,149,76.31024
71.662742,149,77.144587
56.915834,149,77.867003
-733.92979,149,78.578771
46.122773,149,79.293123
-852.125046,149,80.005866
60.897552,149,80.738191
66.867432,149,81.495159
-2550.969896,149,82.238347
-55.695193,129,82.947063
64.76739,149,83.630681
57.279784,149,84.376299
-542.272873,149,85.102602
-423.614346,147,85.824605
64.986319,149,86.612351
75.759295,149,87.328402
-852.637884,116,88.06874
72.757675,149,88.724052
44.495414,149,89.474983
57.121196,149,90.204042
